plate,state,license_type,summons_number,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,issuing_agency,summons_image,violation_time,county,violation_status,issue_date,judgment_entry_date
LEN3896,NY,PAS,4879524189,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.43,0.13,75.3,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxPUkVVMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",04:06P,BX,,12/31/2023,03/21/2024
T10SEP,NJ,PAS,4879523276,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxOZWtrelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:55P,QN,,12/31/2023,03/21/2024
LFZ7572,NY,PAS,4879523264,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxOZWtreVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:55P,QN,,12/31/2023,03/21/2024
LAV1542,NY,PAS,4879523422,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.24,0.07,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxOZWxGNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:56P,BX,,12/31/2023,03/21/2024
HVU6010,NY,PAS,4879523677,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.23,0.06,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxOZWxrelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:59P,ST,,12/31/2023,03/21/2024
HHL4612,NY,PAS,4879522703,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.24,0.07,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxOYW1OM1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:49P,QN,,12/31/2023,03/21/2024
LAN4444,NY,PAS,4879522569,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.37,0.07,75.3,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxOYWxVeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:47P,BX,,12/31/2023,03/21/2024
LDD1047,NY,PAS,4879521784,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxOVkdNMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:39P,BK,,12/31/2023,03/21/2024
KKC7305,NY,PAS,4879521097,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxOVkVFMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:32P,QN,,12/31/2023,03/21/2024
HYH2646,NY,PAS,4879521425,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.26,0.09,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxOVkZGNVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:36P,QN,,12/31/2023,03/21/2024
LBT1327,NY,PAS,4879520135,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGxOUkVWNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:18P,BX,,12/31/2023,03/21/2024
LFS9727,NY,PAS,4879518335,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhQUkUxNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:56P,QN,,12/31/2023,03/21/2024
KZY9852,NY,PAS,4879518311,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhQUkUxNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:56P,QN,,12/31/2023,03/21/2024
EEK5159,NY,PAS,4879519200,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.23,0.06,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhQVkVsM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:07P,QN,,12/31/2023,03/21/2024
LXM9635,PA,PAS,4879517501,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.24,0.03,75.21,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhPZWxWM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:47P,BX,,12/31/2023,03/21/2024
B14SXT,NJ,PAS,4879516776,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhPYW1NelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:40P,BX,,12/31/2023,03/21/2024
KYA8332,NY,PAS,4879517215,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.21,0.04,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhPZWtsNFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:45P,BK,,12/31/2023,03/21/2024
FMA3754,NY,PAS,4879515760,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.75,0,15.01,60.74,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhPVkdNeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:17A,QN,,12/31/2023,03/21/2024
J91SKB,NJ,PAS,4879516582,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.23,0.06,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhPYWxVMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:32P,QN,,12/31/2023,03/21/2024
LYM2141,PA,PAS,4879515036,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.26,0.09,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhPVkVGNlRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:37P,BK,,12/31/2023,03/21/2024
X83SAH,NJ,PAS,4879514986,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhPUkdzMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:36P,QN,,12/31/2023,03/21/2024
T105436C,NY,OMT,4879514913,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,0,50,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhPUkd0NFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:35P,QN,,12/31/2023,
LAU1235,NY,PAS,4879514196,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhPUkVVMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:24P,BX,,12/31/2023,03/21/2024
T687063C,NY,OMT,4879513416,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.82,0,0,75.82,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhOZWxGNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:15P,QN,,12/31/2023,03/28/2024
JBT4327,NY,PAS,4879512096,PHTO SCHOOL ZN SPEED VIOLATION,50,25,1.01,0,0,76.01,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhOYWtFMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:00P,BX,,12/31/2023,03/21/2024
ISHQUU,FL,PAS,4879510749,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhOUkdNd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:43P,QN,,12/31/2023,03/21/2024
HDL2494,NY,PAS,4879509840,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRQVkdjd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:26P,QN,,12/31/2023,03/21/2024
NVLN79,FL,PAS,4879509796,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRQVkdNMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:00P,ST,,12/31/2023,03/21/2024
T690750C,NY,OMT,4879510002,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.24,0.07,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGhOUkVGM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:35P,QN,,12/31/2023,03/21/2024
KEJ6091,NY,PAS,4879509360,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.23,0.06,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRQVkUweVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:30P,QN,,12/31/2023,03/21/2024
LYZ7451,PA,PAS,4879509231,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRQVkVsNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:28P,QN,,12/31/2023,03/21/2024
KYP6259,NY,PAS,4879508767,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.75,0,0,75.75,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRQUkdNeVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:23P,MN,,12/31/2023,04/04/2024
KTP7616,NY,PAS,4879508408,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.23,0.06,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRQUkZGM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:19P,QN,,12/31/2023,03/21/2024
HNU2218,NY,PAS,4879508342,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRQUkUwd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:19P,QN,,12/31/2023,03/21/2024
KUG9784,NY,PAS,4879507337,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.23,0.06,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRPZWsxNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:05P,QN,,12/31/2023,03/21/2024
B26MVT,NJ,PAS,4879507313,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.21,0.04,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRPZWsxNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:05P,ST,,12/31/2023,03/21/2024
LGE6249,NY,PAS,4879507260,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRPZWtreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:03P,QN,,12/31/2023,03/21/2024
KTJ7295,NY,PAS,4879505328,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRPVkUxNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:38P,BX,,12/31/2023,03/21/2024
LCD9362,PA,PAS,4879505304,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRPVkUxM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:37P,BK,,12/31/2023,03/21/2024
KGX2842,NY,PAS,4879504634,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRPUkZsNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:29P,BK,,12/31/2023,03/21/2024
BH94737,CT,PAS,4879504592,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRPUkZVMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:29P,BK,,12/31/2023,03/21/2024
BL27411,CT,PAS,4879504490,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRPUkZFMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:28P,BX,,12/31/2023,03/21/2024
KKC8320,NY,PAS,4879504750,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.21,0,75.21,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGRPUkdNeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:31P,ST,,12/31/2023,03/21/2024
LDJ6948,NY,PAS,4879503540,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGROZWxVd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:17P,BK,,12/31/2023,03/21/2024
HLF5130,NY,PAS,4879502704,PHTO SCHOOL ZN SPEED VIOLATION,50,25,1.18,0.04,76.14,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGROYW1OM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:07P,BK,,12/31/2023,03/21/2024
MGG1567,PA,PAS,4879501505,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGROVkZWM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:54A,ST,,12/31/2023,03/21/2024
2LTP26,MA,PAS,4879500628,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGROUkZsNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:45A,QN,,12/31/2023,03/21/2024
Y203928C,NY,OMT,4879501220,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.06,0.02,75.04,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGROVkVsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:51A,MN,,12/31/2023,04/18/2024
LBX8922,NY,PAS,4879500010,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.24,0.07,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGROUkVGNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:39A,ST,,12/31/2023,03/21/2024
JPB5797,NY,PAS,4879500148,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.21,0.04,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGROUkVVd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:40A,BX,,12/31/2023,03/21/2024
T784627C,NY,OMT,4879500331,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWGROUkUxNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:42A,BX,,12/31/2023,
HTY4282,NY,PAS,4879499444,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.58,0.02,75.56,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZQVkZFd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:34A,QN,,12/31/2023,03/21/2024
SES7372,GA,PAS,4879498476,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZQUkZFelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:25A,QN,,12/31/2023,03/21/2024
LFR9773,NY,PAS,4879497861,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZPZW1jeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:19A,QN,,12/31/2023,03/21/2024
LCJ3422,NY,PAS,4879497149,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.06,0.01,75.05,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZPZWtVd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:10A,QN,,12/31/2023,03/21/2024
KGJ3551,NY,PAS,4879497137,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.34,0.11,75.23,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZPZWtWNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:10A,BX,,12/31/2023,03/21/2024
HKN9998,NY,PAS,4879496765,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.17,0.13,75.04,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZPYW1NeVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:07A,QN,,12/31/2023,03/21/2024
KWM5646,NY,PAS,4879494082,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.24,0.07,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZPUkVFMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:39A,ST,,12/31/2023,03/21/2024
K14PKM,NJ,PAS,4879494562,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.19,0.02,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZPUkZVeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:44A,BK,,12/31/2023,03/21/2024
LGE7081,NY,PAS,4879494100,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZPUkVWM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:39A,QN,,12/31/2023,03/21/2024
EXN5215,NY,PAS,4879493806,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.23,0.06,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZOZW1kM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:35A,QN,,12/31/2023,03/21/2024
LEC2983,NY,PAS,4879493454,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0.02,0,75.93,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZOZWxFeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:31A,BX,,12/31/2023,03/21/2024
KZC5523,NY,PAS,4879492711,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZOYW1ONFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:24A,QN,,12/31/2023,03/21/2024
LEK6157,NY,PAS,4879492826,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.26,0.09,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZOYW1kNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:25A,QN,,12/31/2023,03/21/2024
R70LRX,NJ,PAS,4879492644,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZOYWxrd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:23A,BK,,12/31/2023,03/21/2024
KPZ8332,NY,PAS,4879491329,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZOVkUxNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:07A,QN,,12/31/2023,03/21/2024
LAB6281,NY,PAS,4879491561,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.23,0.06,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZOVkZVeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:10A,QN,,12/31/2023,03/21/2024
GPT9177,NY,PAS,4879491342,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.21,0.04,75.17,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZOVkUwd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:07A,QN,,12/31/2023,03/21/2024
KFN5818,NY,PAS,4879490404,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.95,0,0,75.95,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFZOUkZGM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:57A,QN,,12/31/2023,03/21/2024
JHL1377,NY,PAS,4879489499,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0.69,0.13,75.56,0,000,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVFJQVkZFMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:47A,QN,,12/31/2023,03/21/2024
